season1,club1,season2,club2,season3,club3,pos,letters,country,name,countryCode,col1A,col1B,col1C,col2A,col2B,col2C,col3A,col3B,col3C,
1995/96,Perugia,2001/02,Brescia,2003/04,Besiktas,MF,6,Italy,Giunti,IT,red,red,white,dodgerblue,white,dodgerblue,white,white,black,
2012/13,Olympique Lyon,2013/14,Monaco,2015/16,Manchester Utd,FW,7,France,Martial,FR,white,red,blue,red,white,red,red,red,red,
1990/91,Bordeaux,1997/98,Juventus,2000/01,Valencia,MF,9,France,Deschamps,FR,navy,navy,white,white,black,white,white,white,black,
1999/00,Celtic,2005/06,Middlesbrough,2008/09,Newcastle Utd,FW,6,Australia,Viduka,AU,green,white,green,red,red,white,white,black,white,
1994/95,Lazio,2000/01,Everton,2002,Burnley,MF,9,England,Gascoigne,GB,skyblue,skyblue,white,blue,blue,blue,skyblue,darkred,skyblue,
2017/18,Hull City,2018/19,Torino,2020/21,Fulham,DF,3+4,Nigeria,Ola Aina,NG,black,orange,black,firebrick,firebrick,firebrick,white,white,black,
2010/11,AZ Alkmaar,2013/14,Monaco,2021/22,Venezia,GK,6,Argentina,Romero,AR,red,white,black,red,white,red,black,green,orange,
2014/15,AZ Alkmaar,2018/19,Feyenoord,2021/22,Venezia,DF,4,Suriname,Haps,SR,red,white,black,white,red,black,black,green,orange,
2010/11,Catania,2014/15,Leeds Utd,2019/20,Bari,FW,9,Italy,Antenucci,IT,red,dodgerblue,red,white,yellow,royalblue,white,white,red,
1992/93,Benfica,2002/03,Celta Vigo,2004,Alaves,MF,8,Russia,Mostovoj,RU,red,red,white,skyblue,skyblue,skyblue,blue,white,black,
1963/64,Mantova,1964/65,Roma,1972/73,AC Milan,DF,12,West Germany,Schnellinger,DE,white,red,white,darkred,darkred,gold,red,black,red,
1996/97,Boavista,1999/00,Atletico Madrid,2005/06,Middlesbrough,FW,11,Netherlands,Hasselbaink,NL,black,white,black,red,white,red,red,red,white,
1991/92,Nottingham Forest,1997/98,Manchester Utd,2005/06,West Ham Utd,FW,10,England,Sheringham,GB,red,white,red,red,red,red,skyblue,darkred,skyblue,
2009/10,Lille,2012/13,Saint-Étienne,2019/20,Arsenal,FW,10,Gabon,Aubameyang,GA,red,red,navy,green,green,white,white,red,white,
1996/97,Aston Villa,2005,Birmingham City,2007/08,Sunderland,FW,5,Trinidad and Tobago,Yorke,TT,skyblue,darkred,skyblue,blue,blue,white,red,white,red,
2013/14,Dundee Utd,2015/16,Hull City,2017/18,Liverpool,DF,9,Scotland,Robertson,GB,orange,orange,black,black,orange,black,red,red,red,
2012/13,Real Madrid,2014/15,AC Milan,2015/16,Panathinaikos,MF,6,Ghana,Essien,GH,white,white,white,red,black,red,green,green,white,
1999/00,Monza,2001/02,Nice,2019,West Ham Utd,DF,4,France,Evra,FR,red,red,white,red,black,red,skyblue,darkred,skyblue,
1992/93,Foggia,1998/99,Bari,2001/02,Napoli,GK,7,Italy,Mancini,IT,red,black,red,white,white,red,dodgerblue,dodgerblue,dodgerblue,
1993/94,Lazio,1999/00,Lazio,2000/01,Middlesbrough,FW,6,Croatia,Boksic,HR,skyblue,skyblue,white,skyblue,skyblue,white,red,red,white,
1981/82,Fiorentina,1995/96,Juventus,1996/97,AC Milan,DF,10,Italy,Vierchowod,IT,blueviolet,blueviolet,blueviolet,white,black,white,red,black,red,
2007/08,Genoa,2008/09,Lecce,2009/10,Southampton,FW,10,Senegal,Papa Waigo,SN,navy,darkred,navy,red,yellow,red,red,white,red,
1997/98,Trabzonspor,2000/01,Ajax,2007/08,Levante,MF/FW,9,Georgia,Arveladze,GE,darkred,darkred,dodgerblue,white,red,white,navy,red,navy,
1998/99,Salernitana,2003/04,Palermo,2007/08,Empoli,MF,9,Italy,Vannucchi,IT,maroon,maroon,maroon,lightpink,lightpink,black,royalblue,royalblue,white,
2001/02,EA Guincamp,2003/04,Olympique Marseille,2013/14,Galatasaray,FW,6,Côte d'Ivoire,Drogba,CI,red,black,red,white,white,dodgerblue,red,gold,red,
2011/12,Newcastle Utd,2014/15,Paris Saint Germain,2017/18,Crystal Palace,MF,6,France,Cabaye,FR,white,black,white,navy,red,navy,blue,red,blue,
2003/04,Monaco,2009/10,Sevilla,2010/11,Arsenal,DF,9,France,Squillaci,FR,red,white,red,white,red,white,white,red,white,
2008/09,Manchester Utd,2012/13,Stuttgart,2018/19,Panathinaikos,FW,7,Italy,Macheda,IT,red,red,red,white,red,white,green,green,white,
2000/01,Reggiana,2009/10,Wolfsburg,2012/13,Levante,FW,7,Nigeria,Martins,NG,brown,brown,brown,green,green,white,navy,red,navy,
1983/84,Atletico Madrid,1990/91,Real Madrid,1993/94,Rayo Vallecano,FW,7,Mexico,Sanchez,MX,red,white,red,white,white,white,white,white,red,
1999/00,Anderlecht,2002/03,Borussia Dortmund,2010/11,Cannes,FW,6,Czechia,Koller,CZ,darkorchid,darkorchid,white,yellow,yellow,black,red,white,red,
1996/97,AC Milan,1997/98,Barcelona,1998/99,Olympique Marseille,FW,7,France,Dugarry,FR,red,black,red,firebrick,navy,firebrick,white,white,dodgerblue,
2008/09,Palermo,2012/13,Honvéd,2018/19,Ferencváros,FW,9,Italy,Lanzafame,IT,lightpink,lightpink,black,red,black,red,green,white,green,
2013/14,AC Milan,2018/19,Sampdoria,2019/20,Genoa,MF,8,Italy,Saponara,IT,red,black,red,dodgerblue,white,dodgerblue,navy,darkred,navy,
1995/96,Paris Saint Germain,2000/01,1. FC Kaiserslautern,2004/05,Blackburn Rovers,FW,9,France,Djorkaeff,FR,navy,red,navy,red,red,white,white,royalblue,white,
1997/98,Tigres UANL,2003/04,Werder Bremen,2006/07,Grasshoppers,FW,6,Brazil,Ailton,BR,gold,blue,gold,forestgreen,forestgreen,white,white,blue,white,
1982/83,AC Milan,1989/90,Inter,1991/92,AC Milan,FW,6,Italy,Serena,IT,red,black,red,blue,black,blue,red,black,red,
2008/09,Reggina,2013/14,Hellas Verona,2021/22,Virtus Verona,MF,12,Iceland,Hallfredsson,IS,maroon,maroon,maroon,mediumblue,mediumblue,gold,red,royalblue,red,
1990/91,Atalanta,1998/99,Sampdoria,2001/02,Hellas Verona,GK,6,Italy,Ferron,IT,blue,black,blue,dodgerblue,white,dodgerblue,mediumblue,mediumblue,gold,
2010/11,Werder Bremen,2013/14,Sevilla,2021/22,Ferencváros,MF,5,Germany,Marin,DE,forestgreen,forestgreen,white,white,red,white,green,white,green,
1989/90,Porto,1991/92,Genoa,1995/96,Middlesbrough,DF,6,Brazil,Branco,BR,blue,white,blue,navy,darkred,navy,red,red,white,
2005/06,Bayern Munich,2007/08,Chelsea,2010/11,Werder Bremen,FW,7,Peru,Pizarro,PE,red,red,white,blue,blue,blue,forestgreen,forestgreen,white,
1975/76,Genoa,1978/79,Genoa,1990/91,Roma,MF/FW,5,Italy,Conti,IT,navy,darkred,navy,navy,darkred,navy,darkred,darkred,gold,
2004/05,San Lorenzo,2006/07,Espanyol,2009/10,Manchester City,DF,8,Argentina,Zabaleta,AR,navy,red,navy,royalblue,white,royalblue,skyblue,skyblue,white,
1991/92,Bari,1994/95,Juventus,1998/99,Real Madrid,DF,5,Croatia,Jarni,HR,white,white,red,white,black,white,white,white,white,
2006/07,Ajax,2014/15,Roma,2016/17,Sheffield Wednesday,MF,10,Netherlands,Emanuelson,NL,white,red,white,darkred,darkred,gold,white,royalblue,white,
1991/92,Palermo,1992/93,Ancona,1997/98,Genoa,DF,10,Italy,Centofanti,IT,lightpink,lightpink,black,red,red,white,navy,darkred,navy,
2002/03,Aston Villa,2004/05,Southampton,2007/08,Liverpool,FW,6,England,Crouch,GB,skyblue,darkred,skyblue,red,white,red,red,red,red,
1984/85,Hellas Verona,1986/87,AC Milan,1994/95,Padova,FW,9,Italy,Galderisi,IT,mediumblue,mediumblue,gold,red,black,red,white,red,white,
2006,Corinthians,2008/09,Manchester Utd,2019,Boca Juniors,FW,5,Argentina,Tévez,AR,black,white,black,red,red,red,blue,gold,blue,
1994/95,Feyenoord,2003/04,Celtic,2005/06,Barcelona,FW,7,Sweden,Larsson,SE,white,red,black,green,white,green,firebrick,navy,firebrick,
2012/13,Torino,2015/16,Eibar,2017/18,Bologna,MF/FW,5,Italy,Verdi,IT,firebrick,firebrick,firebrick,red,blue,red,darkred,navy,darkred,
2001/02,Deportivo La Coruna,2007/08,Livorno,2008/09,West Ham Utd,FW,7,Spain,Tristán,ES,blue,white,blue,maroon,maroon,maroon,skyblue,darkred,skyblue,
2004/05,Cagliari,2008/09,Benfica,2011/12,Catania,FW,5,Honduras,Suazo,HN,navy,red,navy,red,red,white,red,dodgerblue,red,
1994/95,Genoa,1996/97,Inter,2001/02,Torino,DF,7,Italy,Galante,IT,navy,darkred,navy,blue,black,blue,firebrick,firebrick,firebrick,
1979/80,Valencia,1981/82,River Plate,1986/87,First Vienna,FW,6,Argentina,Kempes,AR,white,white,black,white,red,white,gold,blue,gold,
2010/11,Palermo,2012/13,Torino,2015/16,Manchester Utd,DF,7,Italy,Darmian,IT,lightpink,lightpink,black,firebrick,firebrick,firebrick,red,red,red,
1995/96,Newcastle Utd,1998/99,Parma,1999/00,Palmeiras,FW,8,Colombia,Asprilla,CO,white,black,white,white,gold,blue,darkgreen,darkgreen,white,
2009/10,Arsenal,2016/17,Sevilla,2019/20,Anderlecht,MF/FW,5,France,Nasri,FR,white,red,white,white,red,white,darkorchid,darkorchid,white,
1994/95,Cagliari,1996/97,Paris Saint Germain,2002/03,Malaga,FW,4+6,Panama,Dely Valdés,PA,navy,red,navy,navy,red,navy,royalblue,white,royalblue,
1995/96,Cremonese,2005/06,Alaves,2009/10,Sydney FC,FW,6,Australia,Aloisi,AU,red,gray,red,blue,white,black,skyblue,skyblue,navy,
1993/94,Udinese,1994/95,Inter,2006/07,Ascoli,FW,10,Italy,Delvecchio,IT,white,black,white,blue,black,blue,white,black,white,
2010,Palmeiras,2018/19,Bologna,2021/22,Parma,DF,6,Brazil,Danilo,BR,darkgreen,darkgreen,white,darkred,navy,darkred,white,gold,blue,
2013/14,Inter,2016/17,Standard Liège,2020/21,Hoffenheim,FW,8,Algeria,Belfodil,DZ,blue,black,blue,red,red,white,royalblue,white,royalblue,
2010/11,Reggina,2012/13,Chievo Verona,2018/19,Lazio,DF,6,Italy,Acerbi,IT,maroon,maroon,maroon,gold,gold,blue,skyblue,skyblue,white,
1996/97,AC Milan,1998/99,Manchester Utd,2001/02,Everton,MF,9,Sweden,Blomqvist,SE,red,black,red,red,red,red,blue,blue,blue,
2013/14,Lille,2015/16,Liverpool,2017/18,Wolfsburg,FW,5,Belgium,Origi,BE,red,red,navy,red,red,red,green,green,white,
2004/05,Monaco,2010/11,Lecce,2013/14,QPR,FW,9,Uruguay,Chevanton,UY,red,white,red,red,yellow,red,white,royalblue,white,
1998/99,AC Milan,2001/02,Valencia,2007/08,Real Zaragoza,DF,5,Argentina,Ayala,AR,red,black,red,white,white,black,white,white,blue,
2002/03,Udinese,2007/08,Juventus,2009/10,Bari,MF,7,Argentina,Almiron,AR,white,black,white,white,black,white,white,white,red,
1995/96,Boca Juniors,1996/97,Real Zaragoza,2003/04,Inter,MF,8,Argentina,Gonzalez,AR,blue,gold,blue,white,white,blue,blue,black,blue,
1987/88,Juventus,1996/97,Leeds Utd,1997/98,Newcastle Utd,FW,4,Wales,Rush,GB,white,black,white,white,yellow,royalblue,white,black,white,
1988/89,Grenoble,1996/97,Real Zaragoza,2002/03,Tottenham,MF,5,Uruguay,Poyet,UY,royalblue,white,royalblue,white,white,blue,white,white,navy,
2007/08,Twente,2010/11,Werder Bremen,2017/18,West Ham Utd,FW,10,Austria,Arnautovic,AT,red,red,red,forestgreen,forestgreen,white,skyblue,darkred,skyblue,
2004/05,Rangers,2007/08,Juventus,2012/13,Panathinaikos,DF,8,France,Boumsong,FR,royalblue,white,red,white,black,white,green,green,white,
1999/00,Napoli,2004/05,Real Zaragoza,2009/10,Olympiakos,MF,8,Argentina,Galletti,AR,dodgerblue,dodgerblue,dodgerblue,white,white,blue,red,white,red,
2013/14,Borussia Dortmund,2014/15,Mainz 05,2019/20,Borussia M'Gladbach,MF,7,Germany,Hofmann,DE,yellow,yellow,black,red,white,red,white,forestgreen,black,
1992/93,Atalanta,1998/99,Rangers,2002/03,Padova,DF,7,Italy,Porrini,IT,blue,black,blue,royalblue,white,red,white,red,white,
1998/99,Sampdoria,1999/00,Parma,2000/01,Fiorentina,DF,8,Côte d'Ivoire,Lassissi,CI,dodgerblue,white,dodgerblue,white,gold,blue,blueviolet,blueviolet,blueviolet,
2010/11,Inter,2011/12,Espanyol,2018/19,Barcelona,FW,8,Brazil,Coutinho,BR,blue,black,blue,royalblue,white,royalblue,firebrick,navy,firebrick,
1997/98,Rangers,2001/02,Bologna,2002/03,Livorno,FW,5,Italy,Negri,IT,royalblue,white,red,darkred,navy,darkred,maroon,maroon,maroon,
2010/11,Inter,2011/12,Parma,2017/18,Sparta Prague,FW,8,France,Biabiany,FR,blue,black,blue,white,gold,blue,darkred,darkred,white,
1986/87,Parma,1988/89,AC Milan,1998/99,Parma,DF,5,Italy,Mussi,IT,white,gold,blue,red,black,red,white,gold,blue,
2002/03,Bayer 04 Leverkusen,2012/13,Juventus,2014,Palmeiras,DF,5,Brazil,Lucio,BR,red,black,red,white,black,white,darkgreen,darkgreen,white,
1995/96,Bayer 04 Leverkusen,2001/02,Rangers,2006/07,Manchester City,MF,5,USA,Reyna,US,red,black,red,royalblue,white,red,skyblue,skyblue,white,
2006/07,Valencia,2012/13,Malaga,2020/21,Betis,MF,7,Spain,Joaquin,ES,white,white,black,royalblue,white,royalblue,green,white,green,
2004/05,Monaco,2013/14,Roma,2021/22,Tre Penne,DF,6,Brazil,Maicon,BR,red,white,red,darkred,darkred,gold,deepskyblue,white,deepskyblue,
2010/11,Valencia,2016/17,Barcelona,2019/20,Borussia Dortmund,FW,4+7,Spain,Paco Alcacer,ES,white,white,black,firebrick,navy,firebrick,yellow,yellow,black,
1997/98,Perugia,1998/99,Everton,1999/00,Perugia,DF,9,Italy,Materazzi,IT,red,red,white,blue,blue,blue,red,red,white,
2002/03,Parma,2003/04,Blackburn Rovers,2006/07,1. FC Köln,DF,6,Slovakia,Gresko,SK,white,gold,blue,white,royalblue,white,white,white,red,
2001/02,Fenerbahçe,2003/04,Ancona,2006/07,Standard Liège,FW,6,Croatia,Rapaic,HR,navy,yellow,navy,red,red,white,red,red,white,
2003/04,Benfica,2009/10,Juventus,2011/12,Atletico Madrid,MF,5,Portugal,Tiago,PT,red,red,white,white,black,white,red,white,red,
2005/06,Porto,2009/10,Juventus,2011/12,Atletico Madrid,MF,5,Brazil,Diego,BR,blue,white,blue,white,black,white,red,white,red,
2001/02,Bologna,2005/06,Inter,2006/07,Werder Bremen,DF,4,Cameroon,Womé,CM,darkred,navy,darkred,blue,black,blue,forestgreen,forestgreen,white,
1997/98,Fidelis Andria,1999/00,Perugia,2002/03,Bologna,MF,5,Italy,Olive,IT,deepskyblue,white,deepskyblue,red,red,white,darkred,navy,darkred,
1995/96,Sheffield Wednesday,1997/98,Bari,2000/01,Olympique Marseille,MF,8,Sweden,Ingesson,SE,white,royalblue,white,white,white,red,white,white,dodgerblue,
1997/98,Roma,1999/00,Lecce,2009/10,Juventus,GK,8,Italy,Chimenti,IT,darkred,darkred,gold,red,yellow,red,white,black,white,
2003/04,Udinese,2007/08,Fiorentina,2013/14,Bologna,MF,8,Italy,Pazienza,IT,white,black,white,blueviolet,blueviolet,blueviolet,darkred,navy,darkred,
2012/13,Feyenoord,2015/16,Porto,2019/20,Stoke City,DF,7+4,Netherlands,Martins Indi,NL,white,red,black,blue,white,blue,white,red,white,
1986/87,Porto,1989/90,Ascoli,1992/93,Torino,FW,10,Brazil,Casagrande,BR,blue,white,blue,white,black,white,firebrick,firebrick,firebrick,
2014/15,Almeria,2016/17,Atletico Madrid,2020/21,Arsenal,MF,6,Ghana,Partey,GH,white,red,white,red,white,red,white,red,white,
2014/15,Inter,2018/19,Liverpool,2021/22,Olympique Lyon,MF,7,Switzerland,Shaqiri,CH,blue,black,blue,red,red,red,white,red,blue,
2011/12,Villarreal,2014/15,Napoli,2016/17,Chievo Verona,MF,2+6,Netherlands,De Guzman,NL,yellow,yellow,yellow,dodgerblue,dodgerblue,dodgerblue,gold,gold,blue,
1986/87,Udinese,1989/90,AC Milan,1991/92,Bari,MF,7,Italy,Colombo,IT,white,black,white,red,black,red,white,white,red,
1998,Varese,2003/04,Empoli,2011/12,Udinese,FW,2+6,Italy,Di Natale,IT,white,red,white,royalblue,royalblue,white,white,black,white,
1991/92,Olympique Marseille,1995/96,Torino,1997/98,1860 Munich,MF/FW,5+4,Ghana,Abédi Pelé,GH,white,white,dodgerblue,firebrick,firebrick,firebrick,skyblue,white,skyblue,
1983/84,Roma,1990/91,Sampdoria,1993/94,São Paulo FC,MF,6,Brazil,Cerezo,BR,darkred,darkred,gold,dodgerblue,white,dodgerblue,white,red,black,
1992/93,Manchester Utd,2000/01,Sporting CP,2002/03,Manchester City,GK,10,Denmark,Schmeichel,DK,red,red,red,green,white,green,skyblue,skyblue,white,
2012/13,Real Sociedad,2018/19,Atletico Madrid,2021/22,Barcelona,FW,9,France,Griezmann,FR,royalblue,white,royalblue,red,white,red,firebrick,navy,firebrick,
1985/86,Udinese,1991/92,Juventus,1993/94,Reggiana,DF,2+8,Italy,De Agostini,IT,white,black,white,white,black,white,brown,brown,brown,
1982/83,Norwich City,1992/93,Wimbledon FC,1994/95,Aston Villa,FW,7,England,Fashanu,GB,forestgreen,yellow,forestgreen,blue,blue,yellow,skyblue,darkred,skyblue,
1985/86,Lazio,1990/91,Udinese,1993/94,Inter,MF,4'4,Italy,Dell'Anno,IT,skyblue,skyblue,white,white,black,white,blue,black,blue,
1992/93,Ajax,1993/94,Inter,1999/00,Sheffield Wednesday,MF,4,Netherlands,Jonk,NL,white,red,white,blue,black,blue,white,royalblue,white,
2008/09,Crystal Palace,2017/18,West Ham Utd,2021/22,Lille,DF,5,Portugal,Fonte,PT,blue,red,blue,skyblue,darkred,skyblue,red,red,navy,
1990/91,Aston Villa,1993/94,Chelsea,1995/96,Olympique Marseille,FW,9,Ireland,Cascarino,IE,skyblue,darkred,skyblue,blue,blue,blue,white,white,dodgerblue,
2014/15,Chelsea,2017/18,Crystal Palace,2020/21,Fulham,MF,6+5,England,Loftus-Cheek,GB,blue,blue,blue,blue,red,blue,white,white,black,
2008/09,Manchester City,2016/17,Leicester City,2022/23,Nice,GK,10,Denmark,Schmeichel,DK,skyblue,skyblue,white,royalblue,royalblue,white,red,black,red,
1995/96,AC Milan,1999/00,Udinese,2003/04,Bologna,MF,9,Italy,Locatelli,IT,red,black,red,white,black,white,darkred,navy,darkred,
2007/08,Standard Liège,2009/10,Everton,2019/20,Shandong,MF,8,Belgium,Fellaini,BE,red,red,white,blue,blue,blue,orange,blue,orange,
1993/94,Udinese,2005/06,Udinese,2007/08,Siena,DF,8,Italy,Bertotto,IT,white,black,white,white,black,white,white,black,white,
1989/90,Sampdoria,1994/95,Roma,2003/04,Valencia,DF,7,Italy,Carboni,IT,dodgerblue,white,dodgerblue,darkred,darkred,gold,white,white,black,
1988/98,1. FC Köln,1990/91,Bayern Munich,1992/93,Juventus,DF,6,Germany,Kohler,DE,white,white,red,red,red,white,white,black,white,
1997/98,Parma,2002/03,Lazio,2004/05,Valencia,MF,5,Italy,Fiore,IT,white,gold,blue,skyblue,skyblue,white,white,white,black,
1985/86,FC Augsburg,1990/91,Lazio,1998/99,Liverpool,FW,6,Germany,Riedle,DE,white,forestgreen,red,skyblue,skyblue,white,red,red,red,
1989/90,Udinese,1999/00,Lazio,2003/04,Udinese,DF/MF,7,Argentina,Sensini,AR,white,black,white,skyblue,skyblue,white,white,black,white,
2015/16,Atletico Madrid,2018/19,Dalian Yifang,2019/20,Atletico Madrid,MF/FW,8,Belgium,Carrasco,BE,red,white,red,deepskyblue,black,deepskyblue,red,white,red,
2000/01,Juventus,2002/03,Fulham,2005/06,Manchester Utd,GK,3+3+3,Netherlands,van der Sar,NL,white,black,white,white,white,black,red,red,red,
2002/03,Lecce,2008/09,Fiorentina,2011/12,Napoli,MF,7,Italy,Donadel,IT,red,yellow,red,blueviolet,blueviolet,blueviolet,dodgerblue,dodgerblue,dodgerblue,
1996/97,LA Galaxy,1997,Cruz Azul,2000,Tigres UANL,GK,6,Mexico,Campos,MX,gold,navy,gold,blue,white,red,gold,blue,gold,
1991/92,AC Milan,1994/95,Lazio,1999/00,Parma,MF,5,Italy,Fuser,IT,red,black,red,skyblue,skyblue,white,white,gold,blue,
1990/91,Napoli,2000/01,Chelsea,2004/05,Cagliari,FW,4,Italy,Zola,IT,dodgerblue,dodgerblue,dodgerblue,blue,blue,blue,navy,red,navy,
2005/06,Inter,2010/11,Roma,2014/15,Fiorentina,MF,7,Chile,Pizarro,CL,blue,black,blue,darkred,darkred,gold,blueviolet,blueviolet,blueviolet,
1989/90,Genoa,1992/93,Inter,1999/00,Bologna,MF/FW,8,Italy,Fontolan,IT,navy,darkred,navy,blue,black,blue,darkred,navy,darkred,
1980/81,Atalanta,1983/84,Ascoli,1990/91,Inter,DF,10,Italy,Mandorlini,IT,blue,black,blue,white,black,white,blue,black,blue,
1987/88,Atletico Madrid,1991/92,Napoli,1993/94,Atalanta,MF,6,Brazil,Alemao,BR,red,white,red,dodgerblue,dodgerblue,dodgerblue,blue,black,blue,
2000/01,Napoli,2004/05,Udinese,2006/07,AC Milan,DF/MF,11,Czechia,Jankulovski,CZ,dodgerblue,dodgerblue,dodgerblue,white,black,white,red,black,red,
1991,Bayer Uerdingen,1995/96,Borussia Dortmund,2001/02,Grasshoppers,FW,9,Switzerland,Chapuisat,CH,blue,red,blue,yellow,yellow,black,white,blue,white,
1990/91,1. FC Kaiserslautern,1994/95,Bayer 04 Leverkusen,1996/97,Schalke 04,DF,6,USA,Dooley,US,red,red,white,red,black,red,royalblue,royalblue,white,
2001/02,Ascoli,2003/04,Chievo Verona,2015/16,Juventus,DF,8,Italy,Barzagli,IT,white,black,white,gold,gold,blue,white,black,white,
1997/98,Newcastle Utd,2002/03,Brescia,2004,West Ham Utd,GK,7,Czechia,Srnicek,CZ,white,black,white,dodgerblue,white,dodgerblue,skyblue,darkred,skyblue,
1964/65,Potenza,1967,Chicago Mustangs,1978/79,Juventus,FW,10,Italy,Boninsegna,IT,red,blue,red,darkred,darkred,white,white,black,white,
2013/14,Atalanta,2017/18,Fiorentina,2021/22,Atalanta,GK,10,Italy,Sportiello,IT,blue,black,blue,blueviolet,blueviolet,blueviolet,blue,black,blue,
1994/95,1. FC Kaiserslautern,1996/97,Inter,2001/02,Bayern Munich,MF,6,Switzerland,Sforza,CH,red,red,white,blue,black,blue,red,red,white,
2004/05,Atalanta,2007/08,Catania,2009/10,Napoli,FW,3,Brazil,Pià,BR,blue,black,blue,red,dodgerblue,red,dodgerblue,dodgerblue,dodgerblue,
2001/02,Auxerre,2008/09,Roma,2015/16,AC Milan,DF,5,France,Mexes,FR,white,white,steelblue,darkred,darkred,gold,red,black,red,
1992/93,Parma,1999/00,Galatasaray,2001/02,Parma,GK,8,Brazil,Taffarel,BR,white,gold,blue,red,gold,red,white,gold,blue,
2001/02,Bologna,2004/05,Palermo,2014/15,AC Milan,DF,8,Italy,Zaccardo,IT,darkred,navy,darkred,lightpink,lightpink,black,red,black,red,
2010/11,Udinese,2013/14,Atalanta,2021/22,Reggina,FW,5,Argentina,Denis,AR,white,black,white,blue,black,blue,maroon,maroon,maroon,
1965/66,SPAL,1968/69,Roma,1974/75,Juventus,MF,7,Italy,Capello,IT,white,royalblue,white,darkred,darkred,gold,white,black,white,
1990/91,Rapid Vienna,1997/98,Roma,1999/00,Venezia,GK,6,Austria,Konsel,AT,green,white,green,darkred,darkred,gold,black,green,orange,
1985/86,Nacional,1991/92,Genoa,1993/94,Torino,FW,8,Uruguay,Aguilera,UY,white,blue,red,navy,darkred,navy,firebrick,firebrick,firebrick,
2006/07,CD Nacional,2008/09,Wolfsburg,2019/20,Monaco,GK,8,Switzerland,Benaglio,CH,white,black,white,green,green,white,red,white,red,
2009/10,Sampdoria,2012/13,Inter,2015/16,Sampdoria,FW,7,Italy,Cassano,IT,dodgerblue,white,dodgerblue,blue,black,blue,dodgerblue,white,dodgerblue,
1993/94,Torino,1998/99,Atalanta,2002/03,Udinese,DF,6,Italy,Sottil,IT,firebrick,firebrick,firebrick,blue,black,blue,white,black,white,
1989/90,Olympique Marseille,1992/93,Cagliari,1993/94,Torino,MF/FW,11,Uruguay,Francescoli,UY,white,white,dodgerblue,navy,red,navy,firebrick,firebrick,firebrick,
1995/96,Cagliari,2005/06,Fiorentina,2006/07,Torino,DF,7,Italy,Pancaro,IT,navy,red,navy,blueviolet,blueviolet,blueviolet,firebrick,firebrick,firebrick,
2001/02,Lazio,2003/04,Udinese,2006/07,Velez Sarsfield,MF/FW,9,Argentina,Castroman,AR,skyblue,skyblue,white,white,black,white,white,blue,white,
2003/04,Manchester Utd,2005/06,Villarreal,2011/12,Inter,FW,6,Uruguay,Forlan,UY,red,red,red,yellow,yellow,yellow,blue,black,blue,
1991/92,Foggia,1999/00,Derby County,2001/02,Pistoiese,FW,6,Italy,Baiano,IT,red,black,red,white,white,black,orange,orange,orange,
1995/96,Werder Bremen,1998/99,Palmeiras,2003/04,Internacional,DF,6+6,Brazil,Junior Baiano,BR,forestgreen,forestgreen,white,darkgreen,darkgreen,white,red,red,white,
1999/00,Palmeiras,2000/01,Deportivo La Coruna,2003/04,Sanfrecce Hiroshima,MF,6+7,Brazil,Cesar Sampaio,BR,darkgreen,darkgreen,white,blue,white,blue,white,darkviolet,white,
2002/03,Barcelona,2007/08,Atletico Madrid,2013/14,Paris Saint Germain,MF,6+5,Brazil+Italy,Thiago Motta,BRIT,firebrick,navy,firebrick,red,white,red,navy,red,navy,
1968/69,Brescia,1980/81,Juventus,1983/84,Fiorentina,DF,10,Italy,Cuccureddu,IT,dodgerblue,white,dodgerblue,white,black,white,blueviolet,blueviolet,blueviolet,
2003/04,Barcelona,2009,Chelsea,2015/16,Besiktas,FW,8,Portugal,Quaresma,PT,firebrick,navy,firebrick,blue,blue,blue,white,white,black,
1980/81,Cagliari,1987/88,AC Milan,1990/91,Lecce,FW,6,Italy,Virdis,IT,navy,red,navy,red,black,red,red,yellow,red,
2002/03,Genoa,2007/08,Juventus,2021/22,Genoa,DF,8,Italy,Criscito,IT,navy,darkred,navy,white,black,white,navy,darkred,navy,
1963/64,Bologna,1972/73,Juventus,1975/76,FC Augsburg,FW,6,Germany,Haller,DE,darkred,navy,darkred,white,black,white,white,forestgreen,red,
2006/07,Genoa,2012/13,Juventus,2017,Genoa,GK,7,Brazil,Rubinho,BR,navy,darkred,navy,white,black,white,navy,darkred,navy,
2004/05,Torino,2010/11,Juventus,2015/16,Torino,FW,12,Italy,Quagliarella,IT,firebrick,firebrick,firebrick,white,black,white,firebrick,firebrick,firebrick,
2012/13,Napoli,2015/16,Leicester City,2019/20,Istanbul Başakşehir,MF,5,Switzerland,Inler,CH,dodgerblue,dodgerblue,dodgerblue,royalblue,royalblue,white,orange,navy,skyblue,
2015/16,Inter,2017/18,Valencia,2019,Barcelona,DF,7,Colombia,Murillo,CO,blue,black,blue,white,white,black,firebrick,navy,firebrick,
1962/63,AC Milan,1971/72,Napoli,1975/76,Juventus,FW,8,Brazil+Italy,Altafini,BRIT,red,black,red,dodgerblue,dodgerblue,dodgerblue,white,black,white,
2021,West Brom,2022,Roma,2022/23,Southampton,DF/MF,8-5,England,Maitland-Niles,GB,navy,white,navy,darkred,darkred,gold,red,white,red,
